date,time,temperature,label,type
28-Apr-25,20:57:01,24.89,0,normal
28-Apr-25,20:56:41,25.34,0,normal
28-Apr-25,20:56:01,23.6,0,normal
28-Apr-25,20:55:41,21.36,0,normal
28-Apr-25,20:55:05,26.34,0,normal
28-Apr-25,20:54:36,25.45,0,normal
28-Apr-25,20:53:58,19.78,0,normal
28-Apr-25,20:53:18,27.43,0,normal
28-Apr-25,20:52:56,20.5,0,normal
28-Apr-25,20:52:26,29.61,0,normal
28-Apr-25,20:51:55,24.97,0,normal
28-Apr-25,20:51:17,18.68,0,normal
28-Apr-25,20:50:46,18.88,0,normal
28-Apr-25,20:50:24,26.26,0,normal
28-Apr-25,20:49:54,19.71,0,normal
28-Apr-25,20:49:22,21.33,0,normal
28-Apr-25,20:48:53,20.38,0,normal
28-Apr-25,20:48:13,24.17,0,normal
28-Apr-25,20:47:38,21.28,0,normal
28-Apr-25,20:47:07,20.67,0,normal
28-Apr-25,20:46:47,24.61,0,normal
28-Apr-25,20:46:08,29.96,0,normal
28-Apr-25,20:45:31,27.25,0,normal
28-Apr-25,20:45:08,21.81,0,normal
28-Apr-25,20:44:39,19.65,0,normal
28-Apr-25,20:44:16,27.6,0,normal
28-Apr-25,20:43:50,18.09,0,normal
28-Apr-25,20:43:22,29.84,0,normal
28-Apr-25,19:19:57,24.04,0,normal
28-Apr-25,19:19:57,24.14,0,normal
28-Apr-25,19:19:57,18.34,0,normal
28-Apr-25,19:19:57,19.05,0,normal
28-Apr-25,19:19:57,24.21,0,normal
28-Apr-25,19:19:57,28.31,0,normal
28-Apr-25,19:19:57,27.95,0,normal
28-Apr-25,19:19:57,19.19,0,normal
28-Apr-25,19:19:57,18.33,0,normal
28-Apr-25,19:19:57,19.95,0,normal
28-Apr-25,19:19:57,24.16,0,normal
26-Apr-25,05:13:47,24.61,0,normal
26-Apr-25,05:13:47,24.61,0,normal
26-Apr-25,05:13:23,27.18,0,normal
26-Apr-25,05:13:23,27.18,0,normal
26-Apr-25,05:12:55,25.92,0,normal
26-Apr-25,05:12:55,25.92,0,normal
26-Apr-25,05:12:30,18.17,0,normal
26-Apr-25,05:12:30,18.17,0,normal
26-Apr-25,05:12:06,22.54,0,normal
26-Apr-25,05:12:06,22.54,0,normal
26-Apr-25,05:11:41,29.32,0,normal
