date,time,humidity,label,type
28-Apr-25,19:19:57,80,0,normal
28-Apr-25,19:19:57,40,0,normal
28-Apr-25,19:19:57,80,0,normal
28-Apr-25,19:19:57,44,0,normal
28-Apr-25,19:19:57,64,0,normal
28-Apr-25,19:19:57,70,0,normal
28-Apr-25,19:19:57,49,0,normal
26-Apr-25,05:13:34,58,0,normal
26-Apr-25,05:13:34,58,0,normal
26-Apr-25,05:12:41,61,0,normal
26-Apr-25,05:12:41,61,0,normal
26-Apr-25,05:12:10,79,0,normal
26-Apr-25,05:12:10,79,0,normal
26-Apr-25,05:11:35,63,0,normal
26-Apr-25,05:11:35,63,0,normal
26-Apr-25,05:10:47,60,0,normal
26-Apr-25,05:10:47,60,0,normal
26-Apr-25,05:09:52,63,0,normal
26-Apr-25,05:09:52,63,0,normal
26-Apr-25,05:08:57,48,0,normal
26-Apr-25,05:08:57,48,0,normal
26-Apr-25,05:07:59,78,0,normal
26-Apr-25,05:07:59,78,0,normal
26-Apr-25,05:07:14,73,0,normal
26-Apr-25,05:07:14,73,0,normal
26-Apr-25,05:06:23,80,0,normal
26-Apr-25,05:06:23,80,0,normal
26-Apr-25,05:05:43,66,0,normal
26-Apr-25,05:05:43,66,0,normal
26-Apr-25,05:04:48,75,0,normal
26-Apr-25,05:04:48,75,0,normal
26-Apr-25,05:04:14,63,0,normal
26-Apr-25,05:04:14,63,0,normal
26-Apr-25,05:03:43,44,0,normal
26-Apr-25,05:03:43,44,0,normal
26-Apr-25,05:03:02,42,0,normal
26-Apr-25,05:03:02,42,0,normal
26-Apr-25,05:02:11,59,0,normal
26-Apr-25,05:02:11,59,0,normal
26-Apr-25,05:01:28,54,0,normal
26-Apr-25,05:01:28,54,0,normal
26-Apr-25,05:00:48,45,0,normal
26-Apr-25,05:00:48,45,0,normal
26-Apr-25,05:00:16,67,0,normal
26-Apr-25,05:00:16,67,0,normal
26-Apr-25,04:59:35,40,0,normal
26-Apr-25,04:59:35,40,0,normal
26-Apr-25,04:58:42,70,0,normal
26-Apr-25,04:58:42,70,0,normal
26-Apr-25,04:58:00,45,0,normal
26-Apr-25,04:58:00,45,0,normal
26-Apr-25,04:57:25,40,0,normal
26-Apr-25,04:57:25,40,0,normal
26-Apr-25,04:56:52,45,0,normal
26-Apr-25,04:56:52,45,0,normal
26-Apr-25,04:55:54,57,0,normal
26-Apr-25,04:55:54,57,0,normal
26-Apr-25,04:55:07,41,0,normal
26-Apr-25,04:55:07,41,0,normal
26-Apr-25,04:54:24,40,0,normal
26-Apr-25,04:54:24,40,0,normal
26-Apr-25,04:53:34,48,0,normal
26-Apr-25,04:53:34,48,0,normal
26-Apr-25,04:52:57,59,0,normal
26-Apr-25,04:52:57,59,0,normal
26-Apr-25,04:52:15,43,0,normal
26-Apr-25,04:52:15,43,0,normal
26-Apr-25,04:51:32,46,0,normal
26-Apr-25,04:51:32,46,0,normal
26-Apr-25,04:50:58,62,0,normal
26-Apr-25,04:50:58,62,0,normal
26-Apr-25,04:50:02,79,0,normal
26-Apr-25,04:50:02,79,0,normal
26-Apr-25,04:49:13,64,0,normal
26-Apr-25,04:49:13,64,0,normal
26-Apr-25,04:48:35,66,0,normal
26-Apr-25,04:48:35,66,0,normal
26-Apr-25,04:47:53,60,0,normal
26-Apr-25,04:47:53,60,0,normal
26-Apr-25,04:46:59,76,0,normal
26-Apr-25,04:46:59,76,0,normal
26-Apr-25,04:46:01,41,0,normal
