date,time,motion_status,light_status,label,type,delta_time
20-Apr-25,19:09:54,1,off,0,normal,999.0
20-Apr-25,19:10:03,1,off,0,normal,9.0
20-Apr-25,19:10:13,1,off,0,normal,10.0
20-Apr-25,19:10:23,0,off,0,normal,10.0
20-Apr-25,19:10:34,1,off,0,normal,11.0
20-Apr-25,19:20:12,0,off,0,normal,578.0
20-Apr-25,19:21:03,1,off,0,normal,51.0
20-Apr-25,19:22:27,0,off,0,normal,84.0
20-Apr-25,19:23:33,0,off,0,normal,66.0
20-Apr-25,19:24:40,1,off,0,normal,67.0
20-Apr-25,19:26:05,0,off,0,normal,85.0
20-Apr-25,19:26:52,1,off,0,normal,47.0
20-Apr-25,19:27:54,0,off,0,normal,62.0
20-Apr-25,19:28:41,1,off,0,normal,47.0
20-Apr-25,19:30:53,1,off,0,normal,132.0
20-Apr-25,19:32:19,1,off,0,normal,86.0
20-Apr-25,19:33:09,0,off,0,normal,50.0
20-Apr-25,19:34:15,0,off,0,normal,66.0
20-Apr-25,19:35:44,0,off,0,normal,89.0
20-Apr-25,19:37:08,1,off,0,normal,84.0
20-Apr-25,19:37:53,0,off,0,normal,45.0
20-Apr-25,19:39:18,0,off,0,normal,85.0
20-Apr-25,19:40:26,0,off,0,normal,68.0
20-Apr-25,19:41:31,1,off,0,normal,65.0
20-Apr-25,19:42:57,0,off,0,normal,86.0
20-Apr-25,19:44:23,1,off,0,normal,86.0
20-Apr-25,19:45:17,0,off,0,normal,54.0
20-Apr-25,19:46:05,0,off,0,normal,48.0
20-Apr-25,19:47:33,0,off,0,normal,88.0
20-Apr-25,19:48:43,1,off,0,normal,70.0
20-Apr-25,19:50:08,1,off,0,normal,85.0
20-Apr-25,19:51:01,0,off,0,normal,53.0
20-Apr-25,19:52:11,0,off,0,normal,70.0
20-Apr-25,19:53:20,0,off,0,normal,69.0
20-Apr-25,19:54:17,0,off,0,normal,57.0
20-Apr-25,19:55:13,1,off,0,normal,56.0
20-Apr-25,19:56:08,1,off,0,normal,55.0
20-Apr-25,19:57:16,1,off,0,normal,68.0
20-Apr-25,19:58:36,1,off,0,normal,80.0
20-Apr-25,19:59:53,1,off,0,normal,77.0
20-Apr-25,20:01:23,0,off,0,normal,90.0
20-Apr-25,20:02:26,0,off,0,normal,63.0
20-Apr-25,20:03:12,0,off,0,normal,46.0
20-Apr-25,20:04:27,0,off,0,normal,75.0
20-Apr-25,20:05:47,0,off,0,normal,80.0
20-Apr-25,20:06:35,1,off,0,normal,48.0
20-Apr-25,20:07:31,1,off,0,normal,56.0
20-Apr-25,20:08:22,1,off,0,normal,51.0
